emlak_tipi,m2_brut,m2_net,oda_sayisi,bina_yaşi,bulundugu_kat,isitma,banyo_sayisi,balkon,esyali,site_icerisi,krediye_uygun,kimden,konum,fiyat
0,120.0,120.0,7,0,10,0,0,0,2,2,1,2,0,375000.0
0,280.0,260.0,14,7,13,0,1,0,2,2,1,1,0,550000.0
2,180.0,140.0,7,6,28,8,0,0,2,1,1,1,0,465000.0
0,140.0,110.0,7,3,28,0,0,0,1,2,2,1,0,575000.0
0,280.0,250.0,16,4,15,0,1,0,2,2,1,1,0,829000.0
0,110.0,100.0,4,3,15,0,0,0,2,2,1,2,0,250000.0
0,120.0,104.0,4,5,15,1,0,0,1,1,1,2,0,450000.0
0,130.0,125.0,7,10,29,0,1,0,2,2,1,1,0,340000.0
0,125.0,90.0,4,0,29,0,1,0,2,1,2,3,0,520000.0
0,150.0,130.0,7,0,29,0,1,0,2,1,1,1,0,750000.0
0,95.0,85.0,4,6,14,0,0,0,2,2,1,1,0,110000.0
0,120.0,100.0,7,5,22,0,1,0,2,2,1,2,0,150000.0
2,120.0,110.0,7,3,10,8,0,0,2,1,1,1,0,427500.0
0,145.0,130.0,7,5,15,0,1,0,2,1,1,2,0,320000.0
2,504.0,420.0,4,5,27,8,0,0,2,2,2,2,0,695000.0
0,85.0,75.0,4,3,10,8,0,0,2,1,1,1,0,360000.0
0,130.0,120.0,7,7,0,0,0,0,2,2,1,1,0,390000.0
0,170.0,160.0,7,5,10,0,0,0,2,2,1,1,0,250000.0
0,220.0,185.0,10,0,13,0,1,0,2,2,1,1,0,420000.0
0,350.0,100.0,4,5,0,8,0,0,2,2,1,1,0,525000.0
2,80.0,70.0,4,8,30,10,0,0,1,1,1,2,0,465000.0
0,90.0,80.0,4,6,0,0,0,0,2,2,1,1,0,182000.0
0,85.0,70.0,4,8,10,8,0,0,2,1,1,1,0,360000.0
0,125.0,102.0,4,0,20,9,1,0,2,1,1,1,0,580000.0
0,90.0,85.0,4,0,14,0,0,0,2,2,2,1,0,195000.0
0,100.0,95.0,4,7,0,0,0,0,1,2,1,2,0,365000.0
0,125.0,125.0,4,5,14,0,0,0,2,2,1,1,0,460000.0
0,150.0,140.0,4,0,23,1,1,0,2,2,2,3,0,850000.0
0,180.0,150.0,10,0,13,9,1,0,2,1,1,1,0,875000.0
